VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,total_amount,trip_duration,average_speed,short_trip_flag,pickup_hour,pickup_day_of_week,is_weekend,tip_percentage,trip_distance_category
1,2019-05-01 00:36:29,2019-05-01 00:47:49,3,2.4,170,148,10.5,17.15,11.333333333333334,12.705882352941174,0,0,2,0,63.33333333333332,medium
1,2019-05-01 00:02:39,2019-05-01 00:10:20,1,1.1,211,148,7.0,12.95,7.683333333333334,8.59002169197397,0,0,2,0,84.99999999999999,medium
1,2019-05-01 00:04:44,2019-05-01 00:09:24,1,0.6,107,164,5.0,9.8,4.666666666666667,7.7142857142857135,1,0,2,0,96.00000000000001,short
1,2019-05-01 00:34:20,2019-05-01 00:48:39,1,4.0,234,238,15.0,22.55,14.316666666666666,16.763678696158323,0,0,2,0,50.33333333333334,medium
1,2019-05-01 00:40:47,2019-05-01 00:48:48,1,2.0,161,141,8.5,13.3,8.016666666666667,14.968814968814968,0,0,2,0,56.47058823529413,medium
1,2019-05-01 00:04:10,2019-05-01 00:15:08,2,2.5,230,79,10.0,16.55,10.966666666666667,13.677811550151976,0,0,2,0,65.5,medium
1,2019-05-01 00:21:09,2019-05-01 00:36:20,1,3.3,79,48,13.0,20.15,15.183333333333334,13.040614709110868,0,0,2,0,54.99999999999999,medium
1,2019-05-01 00:45:39,2019-05-01 00:59:48,1,3.3,100,262,13.0,20.15,14.15,13.992932862190811,0,0,2,0,54.99999999999999,medium
2,2019-05-01 00:19:46,2019-05-01 00:33:23,1,3.54,79,246,13.0,20.16,13.616666666666667,15.598531211750306,0,0,2,0,55.07692307692308,medium
2,2019-05-01 00:47:51,2019-05-01 00:51:08,1,0.51,113,114,4.0,9.36,3.283333333333333,9.319796954314722,1,0,2,0,134.0,short
2,2019-05-01 00:47:13,2019-05-01 01:26:52,2,18.92,132,230,52.0,66.36,39.65,28.63051702395965,0,0,2,0,27.615384615384613,long
2,2019-05-01 00:49:09,2019-05-01 01:18:08,2,17.83,132,164,52.0,61.42,28.983333333333334,36.91086831512363,0,0,2,0,18.11538461538462,long
1,2019-05-01 00:50:01,2019-05-01 00:53:31,2,0.9,48,48,4.5,9.95,3.5,15.428571428571429,1,0,2,0,121.1111111111111,short
2,2019-05-01 00:25:19,2019-05-01 00:34:41,1,2.1,163,107,9.5,17.29,9.366666666666667,13.451957295373665,0,0,2,0,82.0,medium
2,2019-05-01 00:53:56,2019-05-01 01:05:32,4,2.95,142,43,12.0,18.96,11.6,15.258620689655174,0,0,2,0,58.00000000000001,medium
2,2019-05-01 00:09:20,2019-05-01 00:17:12,1,2.25,161,249,8.5,14.76,7.866666666666666,17.161016949152543,0,0,2,0,73.6470588235294,medium
1,2019-05-01 00:25:40,2019-05-01 00:30:44,1,0.9,142,230,5.5,9.3,5.066666666666666,10.657894736842104,1,0,2,0,69.09090909090911,short
1,2019-05-01 00:42:27,2019-05-01 00:51:08,4,1.6,142,162,8.0,13.8,8.683333333333334,11.05566218809981,0,0,2,0,72.50000000000001,medium
1,2019-05-01 00:57:15,2019-05-01 01:07:31,2,1.6,162,246,9.0,15.35,10.266666666666667,9.35064935064935,0,0,2,0,70.55555555555554,medium
2,2019-05-01 00:13:18,2019-05-01 00:18:00,5,0.6,230,170,5.0,8.8,4.7,7.659574468085106,1,0,2,0,76.00000000000001,short
2,2019-05-01 00:38:42,2019-05-01 00:44:58,5,1.15,231,87,6.5,12.36,6.266666666666667,11.01063829787234,0,0,2,0,90.15384615384615,medium
1,2019-05-01 00:34:32,2019-05-01 00:38:24,1,0.6,45,209,4.5,8.3,3.8666666666666667,9.310344827586206,1,0,2,0,84.44444444444446,short
1,2019-05-01 00:39:52,2019-05-01 00:44:34,1,0.9,209,232,5.5,11.15,4.7,11.48936170212766,1,0,2,0,102.72727272727273,short
1,2019-05-01 00:11:15,2019-05-01 00:20:53,1,4.8,87,233,15.0,18.8,9.633333333333333,29.8961937716263,0,0,2,0,25.333333333333336,medium
1,2019-05-01 00:27:39,2019-05-01 00:33:24,1,1.6,141,236,7.0,12.95,5.75,16.695652173913043,0,0,2,0,84.99999999999999,medium
2,2019-05-01 00:24:59,2019-05-01 00:28:41,1,0.67,231,125,4.5,9.3,3.7,10.864864864864865,1,0,2,0,106.66666666666669,short
2,2019-05-01 00:13:05,2019-05-01 00:23:04,1,2.28,41,42,10.0,11.3,9.983333333333333,13.702838063439065,0,0,2,0,13.000000000000005,medium
2,2019-05-01 00:34:04,2019-05-01 00:54:40,1,4.09,263,7,15.5,19.3,20.6,11.9126213592233,0,0,2,0,24.516129032258068,medium
1,2019-05-01 00:24:56,2019-05-01 00:31:46,1,0.6,234,79,5.0,10.55,6.833333333333333,5.2682926829268295,1,0,2,0,111.00000000000001,short
